name,category,price,spicy,pound
招牌龍蝦 Lobster w/ House Special Sauce,T&T House Special 好世界八寶,20.80,yes,yes
蜜桃沙律蝦 Crispy Prawns w/ Honey Walnuts,T&T House Special 好世界八寶,14.80,yes,no
馳名四川蝦 Szechuan Style Crispy Prawns,T&T House Special 好世界八寶,14.80,yes,no
泰式鐵板銀雪Sizzling Sea Bass w/ Thai Style Sauce,T&T House Special 好世界八寶,18.80,yes,no
法式鑊仔蜆 Clams w/ French Style Hot Pot,T&T House Special 好世界八寶,11.80,no,no
香茅串燒銀雪魚 Grilled Sea Bass w/ Lemon Grass,T&T House Special 好世界八寶,23.80,no,no
金牔北京片皮鴨 Peking Duck,T&T House Special 好世界八寶,26.80,no,no
生猛龍蝦 Live Lobster,Fresh Seafood 游水海鮮,20.80,no,yes
亞拉斯加肉蟹 Live Alaska Crab,Fresh Seafood 游水海鮮,17.80,no,yes
游水鰂魚 Live Talapia,Fresh Seafood 游水海鮮,15.80,no,yes
雞春卷 Crispy Chicken Spring Roll (each),Appetizers 拼盤,2.20,no,no
涼拌海哲 Cold Jelly Fish,Appetizers 拼盤,10.80,yes,no
蜜汁叉燒 B.B.Q. Pork,Appetizers 拼盤,7.80,no,no
燻蹄 Pork Hock,Appetizers 拼盤,10.80,no,no
鍋貼 Pot Stickers (8),Appetizers 拼盤,8.80,no,no
海哲拼燻蹄 Cold Jelly Fish w/ Pork Hock,Appetizers 拼盤,13.80,yes,no
潮式炸大腸 Deep Fried Bung Unbplit,Appetizers 拼盤,12.80,no,no
椒鹽雞翼 Salt & Pepper Chicken Wings (8),Appetizers 拼盤,9.80,yes,no
瑤柱雞絲羹 Dry Scallop w/ Shredded Chicken Soup,Soup 湯羹,18.80,no,no
花雕醉蜆湯 Clam with Hua Diao Soup,Soup 湯羹,16.80,no,no
蟹肉魚肚羹 Crab Meat & Fish Maw Soup,Soup 湯羹,14.80,no,no
雞茸魚肚羹 Chicken & Fish Maw Soup,Soup 湯羹,11.80,no,no
粟米魚肚羹 Fish Maw & Cream of Corn Soup,Soup 湯羹,10.80,no,no
海鮮豆腐羹 Assorted Seafood & Bean Curd Soup,Soup 湯羹,10.80,no,no
西湖牛肉羹 Minced Beef & Egg Swirl Soup,Soup 湯羹,9.80,no,no
火鴨芥菜湯 Roasted Duck & Mustard Green Soup,Soup 湯羹,9.80,no,no
七彩酸辣湯 Hot & Sour Soup,Soup 湯羹,8.80,yes,no
磨菇蛋花湯 Fresh Mushroom & Egg Swirl Soup,Soup 湯羹,8.80,no,no
海鮮鍋巴湯 Seafood Sizzling Rice Soup,Soup 湯羹,8.80,no,no
鮑魚北菇海参 Sliced Abalone w/ Vegetables,Seafood 海鮮,23.80,no,no
鮑魚海參一品煲 Abalone & Dried Seafood Hot Pot,Seafood 海鮮,23.80,no,no
瓊山海鮮玉子豆腐 Assorted Seafood w/ Japanese Tofu,Seafood 海鮮,12.80,no,no
油泡龍利球 Sauteed Filet of Sole w/ Chinese Green,Seafood 海鮮,10.80,no,no
宮保蝦球 Kung Pao Shrimp,Seafood 海鮮,12.80,yes,no
雪豆帶子 Sauteed Scallop w/ Snow Pea,Seafood 海鮮,13.80,no,no
椒鹽銀雪魚 Deep Fried Sea Bass w/ Salt & Chili Pepper,Seafood 海鮮,22.80,yes,no
清蒸銀雪魚 Steamed Sea Bass w/ Ginger & Onion,Seafood 海鮮,21.80,no,no
油泡銀雪魚 Sauteed Sea Bass w/ Chinese Green,Seafood 海鮮,21.80,no,no
煎封面銀雪魚 Deep Fried Sea Bass w/ Soy Sauce,Seafood 海鮮,21.80,no,no
粟米銀雪魚 Deep Fried Sea Bass w/ Cream & Corn Sauce,Seafood 海鮮,21.80,no,no
富責海中寶 Sauteed Prawns & Scallops & Squid w/ Broccoli,Seafood 海鮮,12.80,no,no
碧綠龍鳯球 Sauteed Prawns & Chicken w/ Broccoli,Seafood 海鮮,10.80,no,no
蝦球帶子 Sauteed Prawns & Scallop w/ Fresh Mushrooms,Seafood 海鮮,13.80,no,no
雙菇帶子 Scallop w/ Two Kinds of Mushrooms,Seafood 海鮮,13.80,no,no
芥蘭帶子 Sauteed Scallop w/ Chinese Broccoli,Seafood 海鮮,13.80,no,no
Kung Pao Scallop,Seafood 海鮮,13.80,yes,no
X.O. 醬炒蜆 Sauteed Clam w/ X.O. Hot Sause,Seafood 海鮮,13.80,yes,no
豉汁炒肉蜆 Sauteed Clam w/ Black Bean Sauce,Seafood 海鮮,11.80,no,no
泰式鑊仔蜆 Sauteed Clam w/ Thai Sauce Hot Pot,Seafood 海鮮,11.80,yes,no
芥蘭蝦球 Sauteed Prawns w/ Chinese Broccoli,Seafood 海鮮,12.80,no,no
雪豆蝦球 Sauteed Prawns w/ Snow Peas,Seafood 海鮮,12.80,no,no
腰果蝦球 Sauteed Prawns w/ Cashew Nuts,Seafood 海鮮,12.80,no,no
